"","Date","spotted.de","meckr.net","womenweb.de","kochrezepte.de","spontacts.com","autoinfo.de","hoccer.com","einfachlotto.de","yasni.de","tape.tv","merkando.de","make.tv","ferien.touristik.de","dailyme.de"
"1",1,197552,16768091,77284,66459,181305,374791,2172416,530591,10308,23277,666062,197730,1678222,1128737
"2",7,197904,16757548,76701,66275,182150,374680,2169754,530384,10311,23097,675805,196245,1677545,1128179
"3",13,199621,16747613,76192,66173,185226,375306,2168422,522596,10242,22926,675805,196245,1677545,1128179
"4",19,199320,16719992,75876,66189,188180,370862,2252817,522384,10244,22650,667237,196245,1676905,1164122
"5",25,191158,16657396,76162,68223,189698,377070,2390523,478243,10227,22318,667001,195107,1580025,1171095
"6",31,191158,16657396,76162,68223,189698,377070,2390523,478243,10227,22318,666684,195330,1689576,1170645
"7",37,190540,16647596,76450,69628,191739,378669,2389911,472837,10206,22274,674546,194032,1752335,1170637
"8",43,188929,16629374,76494,69267,193150,375010,2389053,476238,10169,22172,656204,196939,1751925,1170421
"9",49,189714,10870232,77806,68184,196079,368675,2387979,464327,10144,22048,667081,198169,1751577,1170214
"10",55,190268,10867406,78553,68569,197489,376144,2387449,457448,10125,22029,666564,199628,1751007,1210358
"11",61,188964,10868492,79654,69027,203274,378120,2387568,457481,10126,22027,657763,201841,1750590,1285913
"12",67,186765,10871098,81193,70258,204655,383971,2387899,457444,10097,22096,643923,202052,1674835,1297917
"13",73,187037,10872623,80770,70275,209585,372913,2387637,449120,10112,22086,643838,204106,1674316,1297302
"14",79,187085,10866941,81449,70438,210045,375698,2386929,449083,10122,22087,627543,205167,1750320,1263644
"15",85,186488,10863458,81107,69963,209646,382995,2386153,449044,10053,21887,627641,206144,1750195,1263441
"16",91,187266,10861056,81504,70474,208158,394877,2385816,448314,9995,21877,627636,210013,1749801,1263101
"17",97,187529,10862531,82624,69900,212376,393549,2536946,448364,9978,21923,627614,210927,1750152,1263146
"18",103,188287,10860584,84120,70318,212217,393913,2537219,443637,9967,21959,605208,212832,1750576,1310669
"19",109,189368,10857704,85910,70839,214551,383505,2536887,431499,9951,21918,604938,230918,1826586,1309733
"20",115,187413,10860483,87381,70570,213264,377588,2536652,431378,9946,22006,604735,237812,1833958,1344489
"21",121,187571,10860155,88011,70455,215163,378281,2471092,437010,9942,22046,614298,240376,1833313,1344395
"22",127,186505,10855198,87173,69443,214825,375561,2469795,432999,9974,21999,600027,244812,1832937,1378833
"23",132,186205,10850847,86180,68364,218558,379311,2293427,425521,9995,22007,599913,247536,1833154,1378973
"24",137,187994,10847306,85125,67048,218277,378825,2293207,436383,9979,22033,599848,252983,1833213,1379136
"25",142,187318,10838785,85043,66872,219926,378927,2292783,430057,10007,22127,605790,243835,1833567,1339749
"26",147,189231,10844066,84936,64946,221924,373282,2293069,430025,9979,22110,598672,243016,1578016,1426544
"27",153,191590,10839699,84757,64012,222035,368264,2362176,413672,9946,22350,604558,244177,1592731,1440004
"28",159,194072,10837066,85052,64364,230317,356309,2204289,409373,9937,22526,604660,252186,1652942,1549641
"29",165,196746,10837572,84967,64628,231935,348595,2131770,419642,9924,22643,618517,259506,1653266,1550036
"30",171,198816,10920318,85437,65238,228225,349987,2151326,423895,9941,22790,624821,262134,1651329,1548207
"31",176,202729,10918717,85119,65460,226802,350056,2151396,423920,9936,22656,634937,264095,1763200,1547961
"32",2,204104,10918378,84153,64922,225169,351123,2151926,431214,9907,22775,636010,266292,1766114,1550766
"33",44,196847,10905719,75665,63999,226801,344790,1905568,453749,9867,22465,646310,241402,1892363,1552338
"34",74,205516,10901411,74227,61215,235647,338157,2050766,453759,9867,22608,662911,241130,2279519,1595034
"35",80,205102,10904717,74220,60757,237246,340549,2051565,458522,9898,22598,663267,245913,2280668,1595771
"36",86,203646,7180623,73950,60744,237424,337058,2050803,453434,9866,22416,664926,240415,2286316,1500794
"37",128,210540,7200820,70674,62567,233706,333289,1913258,401164,9853,22375,661681,248513,2107458,1211288
"38",138,216711,7197499,70538,64586,236964,340526,2008804,407544,9885,22557,662795,235667,1958140,1096775
"39",154,219895,7216489,71279,66624,239859,343044,2199074,410191,9900,22520,662090,232284,2501014,1057847
"40",160,221423,7217957,71514,66682,239070,343263,2199503,406560,9887,22780,662359,234255,2502390,1058075
"41",172,219762,7211780,71207,67413,238401,342953,2197167,395266,9899,22996,674584,233573,2388502,974375
"42",177,225221,7215108,71159,68570,238785,346270,2197935,390200,9895,23317,701015,226137,2244020,958772
"43",3,230144,7229026,70743,69891,235252,352877,2202710,382545,9925,23312,701015,226137,2244020,958772
"44",9,230599,7232628,71344,70296,232509,355068,2101643,382861,9924,23034,690910,225635,2243763,938994
"45",15,236989,7237538,72479,70877,234286,359619,1441701,378660,9984,23106,682051,228026,2241389,954927
"46",21,236989,7237538,72479,70877,234286,359619,1441701,378660,9984,23106,682223,226208,2242284,955121
"47",27,235787,7237176,72783,69084,231495,363718,1441531,371931,10075,23077,665768,227105,2247340,957362
"48",33,235873,7230821,72328,69100,235060,363293,1439845,377666,10059,23055,692900,230020,2248386,907885
"49",39,291739,7232252,72456,68730,235138,359010,1440076,382790,10000,23219,672660,231112,2248518,908052
"50",45,231283,7245679,72022,68911,235836,359853,1443212,379875,9970,23338,684069,232402,2122726,926524
"51",57,241697,7248870,71786,68918,234093,376013,1395480,384111,9919,23464,663908,220595,1996394,893492
"52",69,230599,7250299,73387,70621,229787,386683,1328358,387025,9833,23713,679812,225617,2001396,844472
"53",134,285349,7263627,66666,71131,223980,348801,1290918,402840,9759,24662,741757,222162,1871673,792903
"54",144,256600,7263848,65037,70738,230789,352744,1331267,411285,9724,25107,724162,228969,1868595,791743
"55",161,270291,7252930,64386,71108,232863,351692,1329136,428776,9686,25723,745020,227156,1872167,777426
"56",4,312574,9134591,62310,72146,226111,359740,1331172,446511,9661,25813,750522,223851,1862063,793375
"57",10,312480,9127196,61926,72156,223538,358404,1358405,446340,9594,25932,749563,221018,1859139,792074
"58",16,311576,9105043,62063,72298,221769,355441,1354727,450644,9665,26057,744330,223289,1824872,792237
"59",22,311795,9081916,61678,72518,220612,361727,1351179,447291,9729,26360,753456,222752,1751808,788877
"60",28,309506,9072139,61156,72200,223541,358871,1326765,474929,9772,26710,747216,223930,1873331,798493
"61",34,328171,9071617,60547,72091,218724,360670,1307685,481791,9766,26971,738055,223494,1870136,782194
"62",40,328798,9051602,60350,71913,217163,366193,1286898,485737,9813,27059,736399,225629,1866484,780490
"63",46,332583,9036282,59784,71381,215200,367405,1253115,484856,9885,27235,744630,224997,1861122,772163
"64",52,332041,12196613,59576,72120,213896,367306,1250966,496810,9905,27518,743533,223681,1858675,768095
"65",58,325701,12182265,59180,71674,211227,364333,1248104,498840,9908,27695,743713,223360,1811906,761354
"66",64,326391,12159831,58935,71845,206974,368616,1244674,492208,9933,28035,744671,223552,1807723,753068
"67",70,332197,12144373,58278,72634,205418,368983,1242739,491396,9977,28260,761385,224450,1782445,758825
"68",76,333861,12149830,58208,73810,203836,377661,1243226,498469,9971,28522,759814,227684,1717639,746093
"69",82,331049,12132357,57820,73743,204218,372245,1228892,497091,9963,28874,776414,227520,1713843,750447
"70",88,341575,12118279,57511,74119,205419,368648,1226092,491620,9980,29313,767743,226162,1709115,747995
"71",94,344570,12104041,57115,74431,204442,366031,1212748,493153,10037,29625,766403,223698,1673626,746726
"72",100,345639,12089472,56777,75013,199680,356848,1198788,491789,10046,29798,754063,225080,1649343,746823
"73",106,345697,12063833,55994,75086,198031,354543,1195257,491695,10084,30060,775017,225783,1646179,754298
"74",112,345054,12047431,55042,74680,197761,362759,1193286,508904,10090,30455,768937,224349,1618564,731093
"75",118,349893,12050067,54439,75381,199722,373119,1183937,509003,10083,30589,766816,224973,1687880,729217
"76",124,346690,12034248,54382,76211,197165,371926,1193867,516592,10093,30748,764774,226149,1683777,727350
"77",130,350294,12016497,54127,76845,199658,369871,1191129,524842,10126,30760,771659,225675,1678828,725140
"78",135,343841,11999115,53745,77882,200065,373272,1227781,533823,10133,30652,762703,224557,1676251,724128
"79",140,332510,11964204,53846,79624,198462,373584,1209004,532415,10150,30777,762782,224734,1650794,723915
"80",145,338530,11925746,53414,79688,197451,371090,1205339,547436,10157,30825,760759,234323,1646741,732354
"81",150,335395,11911193,53066,82259,194797,373661,1203600,546265,10180,31195,771004,234517,1969866,724560
