Date;spotted.de;meckr.net;womenweb.de;kochrezepte.de;spontacts.com;autoinfo.de;hoccer.com;einfachlotto.de;yasni.de;tape.tv;merkando.de;make.tv;ferien-touristik.de;dailyme.de
27.06.14;204599;;74519;65240;179305;387816;1626902;568556;;24323;695433;192608;1544814;1069044
28.06.14;204345;;75626;65953;179885;378414;1716183;567542;10352;24025;698311;193254;1602615;1068472
29.06.14;198137;;75822;65961;178280;373275;1764625;547839;10325;23639;697989;193125;1601899;1124905
30.06.14;198731;;77087;66151;181226;369265;2098281;545906;10310;23534;679665;195784;1600753;1110077
01.07.14;197552;16768091;77284;66459;181305;374791;2172416;530591;10308;23277;666062;197730;1678222;1128737
02.07.14;197904;16757548;76701;66275;182150;374680;2169754;530384;10311;23097;675805;196245;1677545;1128179
03.07.14;199621;16747613;76192;66173;185226;375306;2168422;522596;10242;22926;675805;196245;1677545;1128179
04.07.14;199320;16719992;75876;66189;188180;370862;2252817;522384;10244;22650;667237;196245;1676905;1164122
05.07.14;191158;16657396;76162;68223;189698;377070;2390523;478243;10227;22318;667001;195107;1580025;1171095
06.07.14;191158;16657396;76162;68223;189698;377070;2390523;478243;10227;22318;666684;195330;1689576;1170645
07.07.14;190540;16647596;76450;69628;191739;378669;2389911;472837;10206;22274;674546;194032;1752335;1170637
08.07.14;188929;16629374;76494;69267;193150;375010;2389053;476238;10169;22172;656204;196939;1751925;1170421
09.07.14;189714;10870232;77806;68184;196079;368675;2387979;464327;10144;22048;667081;198169;1751577;1170214
10.07.14;190268;10867406;78553;68569;197489;376144;2387449;457448;10125;22029;666564;199628;1751007;1210358
11.07.14;188964;10868492;79654;69027;203274;378120;2387568;457481;10126;22027;657763;201841;1750590;1285913
12.07.14;186765;10871098;81193;70258;204655;383971;2387899;457444;10097;22096;643923;202052;1674835;1297917
13.07.14;187037;10872623;80770;70275;209585;372913;2387637;449120;10112;22086;643838;204106;1674316;1297302
14.07.14;187085;10866941;81449;70438;210045;375698;2386929;449083;10122;22087;627543;205167;1750320;1263644
15.07.14;186488;10863458;81107;69963;209646;382995;2386153;449044;10053;21887;627641;206144;1750195;1263441
16.07.14;187266;10861056;81504;70474;208158;394877;2385816;448314;9995;21877;627636;210013;1749801;1263101
17.07.14;187529;10862531;82624;69900;212376;393549;2536946;448364;9978;21923;627614;210927;1750152;1263146
18.07.14;188287;10860584;84120;70318;212217;393913;2537219;443637;9967;21959;605208;212832;1750576;1310669
19.07.14;189368;10857704;85910;70839;214551;383505;2536887;431499;9951;21918;604938;230918;1826586;1309733
20.07.14;187413;10860483;87381;70570;213264;377588;2536652;431378;9946;22006;604735;237812;1833958;1344489
21.07.14;187571;10860155;88011;70455;215163;378281;2471092;437010;9942;22046;614298;240376;1833313;1344395
22.07.14;186505;10855198;87173;69443;214825;375561;2469795;432999;9974;21999;600027;244812;1832937;1378833
23.07.14;186205;10850847;86180;68364;218558;379311;2293427;425521;9995;22007;599913;247536;1833154;1378973
24.07.14;187994;10847306;85125;67048;218277;378825;2293207;436383;9979;22033;599848;252983;1833213;1379136
25.07.14;187318;10838785;85043;66872;219926;378927;2292783;430057;10007;22127;605790;243835;1833567;1339749
26.07.14;189231;10844066;84936;64946;221924;373282;2293069;430025;9979;22110;598672;243016;1578016;1426544
27.07.14;191590;10839699;84757;64012;222035;368264;2362176;413672;9946;22350;604558;244177;1592731;1440004
28.07.14;194072;10837066;85052;64364;230317;356309;2204289;409373;9937;22526;604660;252186;1652942;1549641
29.07.14;196746;10837572;84967;64628;231935;348595;2131770;419642;9924;22643;618517;259506;1653266;1550036
30.07.14;198816;10920318;85437;65238;228225;349987;2151326;423895;9941;22790;624821;262134;1651329;1548207
31.07.14;202729;10918717;85119;65460;226802;350056;2151396;423920;9936;22656;634937;264095;1763200;1547961
01.08.14;204104;10918378;84153;64922;225169;351123;2151926;431214;9907;22775;636010;266292;1766114;1550766
02.08.14;205744;10908704;83141;64212;226503;352876;1930083;;9887;22500;635874;260454;1765654;1601746
03.08.14;202987;10911673;82480;64185;228446;352772;1929873;;9847;22555;633665;250084;1765362;1601472
04.08.14;203320;10927061;80384;63720;230690;348181;1933179;;9797;22623;619282;242018;1765464;1543236
05.08.14;203351;10920895;78858;63214;229776;348209;1932594;;9855;22677;626550;245044;1765072;1549239
06.08.14;202980;10917183;77930;63522;232006;343342;2022508;461604;;22705;632401;244786;1762093;1546685
07.08.14;195566;10913965;76464;63794;229047;341071;1906090;;;22517;644826;239346;1887793;1635115
08.08.14;196847;10905719;75665;63999;226801;344790;1905568;453749;9867;22465;646310;241402;1892363;1552338
