"","x"
"1",1888848
"2",1893941
"3",1911628
"4",1946076
"5",1988742
"6",2040148
"7",2073521
"8",2076437
"9",2057274
"10",2057610
"11",2071257
"12",2084045
"13",2095030
"14",2079156
"15",1945684
"16",1835094
"17",1771491
"18",1744085
"19",1748000
"20",1915470
"21",3879409
"22",3914151
"23",3953920
"24",3918985
"25",3986458
"26",4053532
"27",4125824
"28",4195725
"29",4272375
"30",4328760
"31",4332834
"32",4314466
"33",4273701
"34",4231763
"35",4218332
"36",4226584
"37",4267560
"38",4314432
"39",4347875
"40",4334698
"41",4330810
"42",4383882
"43",4478102
"44",4430204
"45",4361398
"46",2936017
"47",3192399
"48",3271179
"49",3312307
"50",3328193
"51",3336026
"52",3351865
"53",3374178
"54",3367406
"55",3350957
"56",3343182
"57",3345650
"58",3338561
"59",3316353
"60",3290333
"61",3274016
"62",3252691
"63",3235231
"64",3251489
"65",3270959
"66",3274500
"67",3265398
"68",3245325
"69",3225354
"70",3218112
"71",3208719
"72",3172902
"73",3152489
"74",3136776
"75",3118134
"76",3083011
"77",3056973
"78",3044968
"79",3038689
"80",3042504
"81",3048759
"82",3050974
"83",3042612
"84",3040035
"85",3045456
"86",3075670
"87",3115473
"88",3273630
"89",3352848
"90",3409737
"91",3433695
"92",3446031
"93",3465748
"94",3475392
"95",3472009
"96",3471418
"97",3458763
"98",3425759
"99",3398822
"100",3386667
"101",3382169
"102",3388434
"103",3392425
"104",3388477
"105",3387828
"106",3395189
"107",3404037
"108",3416255
"109",3431675
"110",3442675
"111",3460725
"112",3413937
"113",3375222
"114",3415091
